"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"10-14 years"	"10-14"	"Male"	"M"	"2019"	"2019"	494	3166204	15.6
	"Large Central Metro"	"1"	"15-19 years"	"15-19"	"Female"	"F"	"2017"	"2017"	777	3064619	25.4
	"Large Central Metro"	"1"	"15-19 years"	"15-19"	"Female"	"F"	"2018"	"2018"	769	3055099	25.2
	"Large Central Metro"	"1"	"15-19 years"	"15-19"	"Female"	"F"	"2019"	"2019"	730	3050846	23.9
	"Large Central Metro"	"1"	"15-19 years"	"15-19"	"Male"	"M"	"2017"	"2017"	2289	3163053	72.4
	"Large Central Metro"	"1"	"15-19 years"	"15-19"	"Male"	"M"	"2018"	"2018"	2124	3150084	67.4
	"Large Central Metro"	"1"	"15-19 years"	"15-19"	"Male"	"M"	"2019"	"2019"	2168	3140707	69.0
	"Large Central Metro"	"1"	"20-24 years"	"20-24"	"Female"	"F"	"2017"	"2017"	1545	3370234	45.8
	"Large Central Metro"	"1"	"20-24 years"	"20-24"	"Female"	"F"	"2018"	"2018"	1426	3323371	42.9
	"Large Central Metro"	"1"	"20-24 years"	"20-24"	"Female"	"F"	"2019"	"2019"	1418	3276766	43.3
	"Large Central Metro"	"1"	"20-24 years"	"20-24"	"Male"	"M"	"2017"	"2017"	4699	3421836	137.3
	"Large Central Metro"	"1"	"20-24 years"	"20-24"	"Male"	"M"	"2018"	"2018"	4407	3358908	131.2
	"Large Central Metro"	"1"	"20-24 years"	"20-24"	"Male"	"M"	"2019"	"2019"	4422	3296213	134.2
	"Large Central Metro"	"1"	"25-29 years"	"25-29"	"Female"	"F"	"2017"	"2017"	2250	4251482	52.9
	"Large Central Metro"	"1"	"25-29 years"	"25-29"	"Female"	"F"	"2018"	"2018"	2256	4246348	53.1
	"Large Central Metro"	"1"	"25-29 years"	"25-29"	"Female"	"F"	"2019"	"2019"	2177	4208023	51.7
	"Large Central Metro"	"1"	"25-29 years"	"25-29"	"Male"	"M"	"2017"	"2017"	6213	4275375	145.3
	"Large Central Metro"	"1"	"25-29 years"	"25-29"	"Male"	"M"	"2018"	"2018"	5992	4282553	139.9
	"Large Central Metro"	"1"	"25-29 years"	"25-29"	"Male"	"M"	"2019"	"2019"	6095	4249401	143.4
	"Large Central Metro"	"1"	"30-34 years"	"30-34"	"Female"	"F"	"2017"	"2017"	2829	3922755	72.1
	"Large Central Metro"	"1"	"30-34 years"	"30-34"	"Female"	"F"	"2018"	"2018"	2832	3958132	71.5
	"Large Central Metro"	"1"	"30-34 years"	"30-34"	"Female"	"F"	"2019"	"2019"	2936	4013306	73.2
	"Large Central Metro"	"1"	"30-34 years"	"30-34"	"Male"	"M"	"2017"	"2017"	6453	3963926	162.8
	"Large Central Metro"	"1"	"30-34 years"	"30-34"	"Male"	"M"	"2018"	"2018"	6303	4015827	157.0
	"Large Central Metro"	"1"	"30-34 years"	"30-34"	"Male"	"M"	"2019"	"2019"	6749	4084674	165.2
	"Large Central Metro"	"1"	"35-39 years"	"35-39"	"Female"	"F"	"2017"	"2017"	3709	3586562	103.4
	"Large Central Metro"	"1"	"35-39 years"	"35-39"	"Female"	"F"	"2018"	"2018"	3757	3632535	103.4
	"Large Central Metro"	"1"	"35-39 years"	"35-39"	"Female"	"F"	"2019"	"2019"	3826	3655614	104.7
	"Large Central Metro"	"1"	"35-39 years"	"35-39"	"Male"	"M"	"2017"	"2017"	7051	3563107	197.9
	"Large Central Metro"	"1"	"35-39 years"	"35-39"	"Male"	"M"	"2018"	"2018"	7190	3620791	198.6
	"Large Central Metro"	"1"	"35-39 years"	"35-39"	"Male"	"M"	"2019"	"2019"	7413	3654737	202.8
	"Large Central Metro"	"1"	"40-44 years"	"40-44"	"Female"	"F"	"2017"	"2017"	4618	3257801	141.8
	"Large Central Metro"	"1"	"40-44 years"	"40-44"	"Female"	"F"	"2018"	"2018"	4468	3253278	137.3
	"Large Central Metro"	"1"	"40-44 years"	"40-44"	"Female"	"F"	"2019"	"2019"	4661	3268440	142.6
	"Large Central Metro"	"1"	"40-44 years"	"40-44"	"Male"	"M"	"2017"	"2017"	7877	3175211	248.1
	"Large Central Metro"	"1"	"40-44 years"	"40-44"	"Male"	"M"	"2018"	"2018"	7952	3175015	250.5
	"Large Central Metro"	"1"	"40-44 years"	"40-44"	"Male"	"M"	"2019"	"2019"	8270	3194769	258.9
	"Large Central Metro"	"1"	"45-49 years"	"45-49"	"Female"	"F"	"2017"	"2017"	7158	3345724	213.9
	"Large Central Metro"	"1"	"45-49 years"	"45-49"	"Female"	"F"	"2018"	"2018"	7005	3317180	211.2
	"Large Central Metro"	"1"	"45-49 years"	"45-49"	"Female"	"F"	"2019"	"2019"	6897	3272648	210.7
	"Large Central Metro"	"1"	"45-49 years"	"45-49"	"Male"	"M"	"2017"	"2017"	11719	3261016	359.4
	"Large Central Metro"	"1"	"45-49 years"	"45-49"	"Male"	"M"	"2018"	"2018"	11778	3221373	365.6
	"Large Central Metro"	"1"	"45-49 years"	"45-49"	"Male"	"M"	"2019"	"2019"	11416	3164763	360.7
	"Large Central Metro"	"1"	"50-54 years"	"50-54"	"Female"	"F"	"2017"	"2017"	11147	3281218	339.7
	"Large Central Metro"	"1"	"50-54 years"	"50-54"	"Female"	"F"	"2018"	"2018"	10506	3213591	326.9
	"Large Central Metro"	"1"	"50-54 years"	"50-54"	"Female"	"F"	"2019"	"2019"	10230	3166554	323.1
	"Large Central Metro"	"1"	"50-54 years"	"50-54"	"Male"	"M"	"2017"	"2017"	18117	3166461	572.2
	"Large Central Metro"	"1"	"50-54 years"	"50-54"	"Male"	"M"	"2018"	"2018"	17454	3108835	561.4
	"Large Central Metro"	"1"	"50-54 years"	"50-54"	"Male"	"M"	"2019"	"2019"	17007	3065002	554.9
	"Large Central Metro"	"1"	"55-59 years"	"55-59"	"Female"	"F"	"2017"	"2017"	16889	3288456	513.6
	"Large Central Metro"	"1"	"55-59 years"	"55-59"	"Female"	"F"	"2018"	"2018"	16620	3274778	507.5
	"Large Central Metro"	"1"	"55-59 years"	"55-59"	"Female"	"F"	"2019"	"2019"	15989	3262888	490.0
	"Large Central Metro"	"1"	"55-59 years"	"55-59"	"Male"	"M"	"2017"	"2017"	26977	3084922	874.5
	"Large Central Metro"	"1"	"55-59 years"	"55-59"	"Male"	"M"	"2018"	"2018"	26952	3080760	874.8
	"Large Central Metro"	"1"	"55-59 years"	"55-59"	"Male"	"M"	"2019"	"2019"	26484	3079712	860.0
	"Large Central Metro"	"1"	"60-64 years "	"60-64"	"Female"	"F"	"2017"	"2017"	22112	2968913	744.8
	"Large Central Metro"	"1"	"60-64 years "	"60-64"	"Female"	"F"	"2018"	"2018"	22180	3007908	737.4
	"Large Central Metro"	"1"	"60-64 years "	"60-64"	"Female"	"F"	"2019"	"2019"	22254	3032407	733.9
	"Large Central Metro"	"1"	"60-64 years "	"60-64"	"Male"	"M"	"2017"	"2017"	33737	2653839	1271.3
	"Large Central Metro"	"1"	"60-64 years "	"60-64"	"Male"	"M"	"2018"	"2018"	34599	2702409	1280.3
	"Large Central Metro"	"1"	"60-64 years "	"60-64"	"Male"	"M"	"2019"	"2019"	34725	2738894	1267.8
	"Large Central Metro"	"1"	"65-69 years"	"65-69"	"Female"	"F"	"2017"	"2017"	26527	2461683	1077.6
	"Large Central Metro"	"1"	"65-69 years"	"65-69"	"Female"	"F"	"2018"	"2018"	26525	2500080	1061.0
	"Large Central Metro"	"1"	"65-69 years"	"65-69"	"Female"	"F"	"2019"	"2019"	26647	2553163	1043.7
	"Large Central Metro"	"1"	"65-69 years"	"65-69"	"Male"	"M"	"2017"	"2017"	36652	2097967	1747.0
	"Large Central Metro"	"1"	"65-69 years"	"65-69"	"Male"	"M"	"2018"	"2018"	37514	2129195	1761.9
	"Large Central Metro"	"1"	"65-69 years"	"65-69"	"Male"	"M"	"2019"	"2019"	38275	2176428	1758.6
	"Large Central Metro"	"1"	"70-74 years"	"70-74"	"Female"	"F"	"2017"	"2017"	30462	1850504	1646.1
	"Large Central Metro"	"1"	"70-74 years"	"70-74"	"Female"	"F"	"2018"	"2018"	31233	1932598	1616.1
	"Large Central Metro"	"1"	"70-74 years"	"70-74"	"Female"	"F"	"2019"	"2019"	32477	2026602	1602.5
	"Large Central Metro"	"1"	"70-74 years"	"70-74"	"Male"	"M"	"2017"	"2017"	38017	1509195	2519.0
	"Large Central Metro"	"1"	"70-74 years"	"70-74"	"Male"	"M"	"2018"	"2018"	39604	1580578	2505.7
	"Large Central Metro"	"1"	"70-74 years"	"70-74"	"Male"	"M"	"2019"	"2019"	40951	1657976	2469.9
	"Large Central Metro"	"1"	"75-79 years"	"75-79"	"Female"	"F"	"2017"	"2017"	35528	1304361	2723.8
	"Large Central Metro"	"1"	"75-79 years"	"75-79"	"Female"	"F"	"2018"	"2018"	36929	1367810	2699.9
	"Large Central Metro"	"1"	"75-79 years"	"75-79"	"Female"	"F"	"2019"	"2019"	37220	1420720	2619.8
	"Large Central Metro"	"1"	"75-79 years"	"75-79"	"Male"	"M"	"2017"	"2017"	38349	983467	3899.4
	"Large Central Metro"	"1"	"75-79 years"	"75-79"	"Male"	"M"	"2018"	"2018"	40284	1036201	3887.7
	"Large Central Metro"	"1"	"75-79 years"	"75-79"	"Male"	"M"	"2019"	"2019"	41195	1079094	3817.6
	"Large Central Metro"	"1"	"80-84 years"	"80-84"	"Female"	"F"	"2017"	"2017"	44730	945369	4731.5
	"Large Central Metro"	"1"	"80-84 years"	"80-84"	"Female"	"F"	"2018"	"2018"	44834	963974	4651.0
	"Large Central Metro"	"1"	"80-84 years"	"80-84"	"Female"	"F"	"2019"	"2019"	44268	991655	4464.1
	"Large Central Metro"	"1"	"80-84 years"	"80-84"	"Male"	"M"	"2017"	"2017"	41378	647103	6394.3
	"Large Central Metro"	"1"	"80-84 years"	"80-84"	"Male"	"M"	"2018"	"2018"	41927	664122	6313.1
	"Large Central Metro"	"1"	"80-84 years"	"80-84"	"Male"	"M"	"2019"	"2019"	42520	687382	6185.8
	"Large Central Metro"	"1"	"85-89 years"	"85-89"	"Female"	"F"	"2017"	"2017"	54607	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"85-89 years"	"85-89"	"Female"	"F"	"2018"	"2018"	54316	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"85-89 years"	"85-89"	"Female"	"F"	"2019"	"2019"	52730	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"85-89 years"	"85-89"	"Male"	"M"	"2017"	"2017"	42679	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"85-89 years"	"85-89"	"Male"	"M"	"2018"	"2018"	42272	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"85-89 years"	"85-89"	"Male"	"M"	"2019"	"2019"	41814	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"90-94 years"	"90-94"	"Female"	"F"	"2017"	"2017"	53330	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"90-94 years"	"90-94"	"Female"	"F"	"2018"	"2018"	52568	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"90-94 years"	"90-94"	"Female"	"F"	"2019"	"2019"	51515	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"90-94 years"	"90-94"	"Male"	"M"	"2017"	"2017"	30513	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"90-94 years"	"90-94"	"Male"	"M"	"2018"	"2018"	30511	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"90-94 years"	"90-94"	"Male"	"M"	"2019"	"2019"	30319	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"95-99 years"	"95-99"	"Female"	"F"	"2017"	"2017"	27134	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"95-99 years"	"95-99"	"Female"	"F"	"2018"	"2018"	27657	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"95-99 years"	"95-99"	"Female"	"F"	"2019"	"2019"	27755	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"95-99 years"	"95-99"	"Male"	"M"	"2017"	"2017"	11061	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"95-99 years"	"95-99"	"Male"	"M"	"2018"	"2018"	11624	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"95-99 years"	"95-99"	"Male"	"M"	"2019"	"2019"	11820	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"100+ years"	"100+"	"Female"	"F"	"2017"	"2017"	6652	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"100+ years"	"100+"	"Female"	"F"	"2018"	"2018"	6857	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"100+ years"	"100+"	"Female"	"F"	"2019"	"2019"	7011	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"100+ years"	"100+"	"Male"	"M"	"2017"	"2017"	1619	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"100+ years"	"100+"	"Male"	"M"	"2018"	"2018"	1742	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"100+ years"	"100+"	"Male"	"M"	"2019"	"2019"	1808	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Not Stated"	"NS"	"Female"	"F"	"2017"	"2017"	14	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Not Stated"	"NS"	"Female"	"F"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Not Stated"	"NS"	"Female"	"F"	"2019"	"2019"	15	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Not Stated"	"NS"	"Male"	"M"	"2017"	"2017"	31	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Not Stated"	"NS"	"Male"	"M"	"2018"	"2018"	26	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Not Stated"	"NS"	"Male"	"M"	"2019"	"2019"	30	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	2085	454019	459.2
	"Large Fringe Metro"	"2"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	2014	447240	450.3
	"Large Fringe Metro"	"2"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	1959	442876	442.3
	"Large Fringe Metro"	"2"	"< 1 year"	"1"	"Male"	"M"	"2017"	"2017"	2572	475698	540.7
	"Large Fringe Metro"	"2"	"< 1 year"	"1"	"Male"	"M"	"2018"	"2018"	2490	468633	531.3
	"Large Fringe Metro"	"2"	"< 1 year"	"1"	"Male"	"M"	"2019"	"2019"	2516	464016	542.2
	"Large Fringe Metro"	"2"	"1-4 years"	"1-4"	"Female"	"F"	"2017"	"2017"	367	1907332	19.2
	"Large Fringe Metro"	"2"	"1-4 years"	"1-4"	"Female"	"F"	"2018"	"2018"	373	1914393	19.5
	"Large Fringe Metro"	"2"	"1-4 years"	"1-4"	"Female"	"F"	"2019"	"2019"	315	1906849	16.5
	"Large Fringe Metro"	"2"	"1-4 years"	"1-4"	"Male"	"M"	"2017"	"2017"	464	1991036	23.3
	"Large Fringe Metro"	"2"	"1-4 years"	"1-4"	"Male"	"M"	"2018"	"2018"	471	2001946	23.5
	"Large Fringe Metro"	"2"	"1-4 years"	"1-4"	"Male"	"M"	"2019"	"2019"	397	1990950	19.9
	"Large Fringe Metro"	"2"	"5-9 years"	"5-9"	"Female"	"F"	"2017"	"2017"	258	2507429	10.3
	"Large Fringe Metro"	"2"	"5-9 years"	"5-9"	"Female"	"F"	"2018"	"2018"	222	2498544	8.9
	"Large Fringe Metro"	"2"	"5-9 years"	"5-9"	"Female"	"F"	"2019"	"2019"	226	2507047	9.0
	"Large Fringe Metro"	"2"	"5-9 years"	"5-9"	"Male"	"M"	"2017"	"2017"	280	2617720	10.7
	"Large Fringe Metro"	"2"	"5-9 years"	"5-9"	"Male"	"M"	"2018"	"2018"	269	2610913	10.3
	"Large Fringe Metro"	"2"	"5-9 years"	"5-9"	"Male"	"M"	"2019"	"2019"	258	2621167	9.8
	"Large Fringe Metro"	"2"	"10-14 years"	"10-14"	"Female"	"F"	"2017"	"2017"	274	2659289	10.3
	"Large Fringe Metro"	"2"	"10-14 years"	"10-14"	"Female"	"F"	"2018"	"2018"	296	2666772	11.1
	"Large Fringe Metro"	"2"	"10-14 years"	"10-14"	"Female"	"F"	"2019"	"2019"	306	2655135	11.5
	"Large Fringe Metro"	"2"	"10-14 years"	"10-14"	"Male"	"M"	"2017"	"2017"	418	2772382	15.1
	"Large Fringe Metro"	"2"	"10-14 years"	"10-14"	"Male"	"M"	"2018"	"2018"	399	2781320	14.3
	"Large Fringe Metro"	"2"	"10-14 years"	"10-14"	"Male"	"M"	"2019"	"2019"	408	2769726	14.7
	"Large Fringe Metro"	"2"	"15-19 years"	"15-19"	"Female"	"F"	"2017"	"2017"	687	2609557	26.3
	"Large Fringe Metro"	"2"	"15-19 years"	"15-19"	"Female"	"F"	"2018"	"2018"	681	2614351	26.0
	"Large Fringe Metro"	"2"	"15-19 years"	"15-19"	"Female"	"F"	"2019"	"2019"	668	2619308	25.5
	"Large Fringe Metro"	"2"	"15-19 years"	"15-19"	"Male"	"M"	"2017"	"2017"	1794	2748061	65.3
	"Large Fringe Metro"	"2"	"15-19 years"	"15-19"	"Male"	"M"	"2018"	"2018"	1555	2745652	56.6
	"Large Fringe Metro"	"2"	"15-19 years"	"15-19"	"Male"	"M"	"2019"	"2019"	1608	2744915	58.6
	"Large Fringe Metro"	"2"	"20-24 years"	"20-24"	"Female"	"F"	"2017"	"2017"	1229	2484795	49.5
	"Large Fringe Metro"	"2"	"20-24 years"	"20-24"	"Female"	"F"	"2018"	"2018"	1237	2474098	50.0
	"Large Fringe Metro"	"2"	"20-24 years"	"20-24"	"Female"	"F"	"2019"	"2019"	1197	2461023	48.6
	"Large Fringe Metro"	"2"	"20-24 years"	"20-24"	"Male"	"M"	"2017"	"2017"	3695	2596617	142.3
	"Large Fringe Metro"	"2"	"20-24 years"	"20-24"	"Male"	"M"	"2018"	"2018"	3345	2574208	129.9
	"Large Fringe Metro"	"2"	"20-24 years"	"20-24"	"Male"	"M"	"2019"	"2019"	3250	2560506	126.9
	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	"Female"	"F"	"2017"	"2017"	1824	2562019	71.2
	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	"Female"	"F"	"2018"	"2018"	1790	2599082	68.9
	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	"Female"	"F"	"2019"	"2019"	1711	2610599	65.5
	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	"Male"	"M"	"2017"	"2017"	4987	2645508	188.5
	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	"Male"	"M"	"2018"	"2018"	4604	2692411	171.0
	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	"Male"	"M"	"2019"	"2019"	4533	2710647	167.2
	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	"Female"	"F"	"2017"	"2017"	2366	2617109	90.4
	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	"Female"	"F"	"2018"	"2018"	2316	2630457	88.0
	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	"Female"	"F"	"2019"	"2019"	2320	2658798	87.3
	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	"Male"	"M"	"2017"	"2017"	5118	2604430	196.5
	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	"Male"	"M"	"2018"	"2018"	5003	2629836	190.2
	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	"Male"	"M"	"2019"	"2019"	4948	2668916	185.4
	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	"Female"	"F"	"2017"	"2017"	2852	2707985	105.3
	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	"Female"	"F"	"2018"	"2018"	2904	2753979	105.4
	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	"Female"	"F"	"2019"	"2019"	3010	2781509	108.2
	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	"Male"	"M"	"2017"	"2017"	5529	2647012	208.9
	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	"Male"	"M"	"2018"	"2018"	5569	2696650	206.5
	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	"Male"	"M"	"2019"	"2019"	5738	2728114	210.3
	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	"Female"	"F"	"2017"	"2017"	3480	2602280	133.7
	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	"Female"	"F"	"2018"	"2018"	3509	2612921	134.3
	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	"Female"	"F"	"2019"	"2019"	3540	2646312	133.8
	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	"Male"	"M"	"2017"	"2017"	5769	2523546	228.6
	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	"Male"	"M"	"2018"	"2018"	5952	2540485	234.3
	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	"Male"	"M"	"2019"	"2019"	6229	2576448	241.8
	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	"Female"	"F"	"2017"	"2017"	5725	2866469	199.7
	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	"Female"	"F"	"2018"	"2018"	5448	2828741	192.6
	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	"Female"	"F"	"2019"	"2019"	5227	2776002	188.3
	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	"Male"	"M"	"2017"	"2017"	8973	2765798	324.4
	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	"Male"	"M"	"2018"	"2018"	8633	2730893	316.1
	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	"Male"	"M"	"2019"	"2019"	8600	2684500	320.4
	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	"Female"	"F"	"2017"	"2017"	9035	2947983	306.5
	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	"Female"	"F"	"2018"	"2018"	8679	2882309	301.1
	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	"Female"	"F"	"2019"	"2019"	8305	2828606	293.6
	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	"Male"	"M"	"2017"	"2017"	13926	2822620	493.4
	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	"Male"	"M"	"2018"	"2018"	13460	2762017	487.3
	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	"Male"	"M"	"2019"	"2019"	13178	2715306	485.3
	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	"Female"	"F"	"2017"	"2017"	14386	2966437	485.0
	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	"Female"	"F"	"2018"	"2018"	13991	2971299	470.9
	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	"Female"	"F"	"2019"	"2019"	13762	2979335	461.9
	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	"Male"	"M"	"2017"	"2017"	21195	2816745	752.5
	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	"Male"	"M"	"2018"	"2018"	21436	2821428	759.8
	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	"Male"	"M"	"2019"	"2019"	20930	2829038	739.8
	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	"Female"	"F"	"2017"	"2017"	18277	2620556	697.4
	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	"Female"	"F"	"2018"	"2018"	18474	2682879	688.6
	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	"Female"	"F"	"2019"	"2019"	18899	2732167	691.7
	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	"Male"	"M"	"2017"	"2017"	27466	2418818	1135.5
	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	"Male"	"M"	"2018"	"2018"	27859	2480707	1123.0
	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	"Male"	"M"	"2019"	"2019"	28129	2533068	1110.5
	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	"Female"	"F"	"2017"	"2017"	23022	2200330	1046.3
	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	"Female"	"F"	"2018"	"2018"	22876	2236146	1023.0
	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	"Female"	"F"	"2019"	"2019"	23183	2290417	1012.2
	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	"Male"	"M"	"2017"	"2017"	31692	1947562	1627.3
	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	"Male"	"M"	"2018"	"2018"	32408	1975359	1640.6
	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	"Male"	"M"	"2019"	"2019"	32843	2024909	1621.9
