"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"15-24 years"	"15-24"	"Male"	"M"	"2019"	"2019"	6590	6436920	102.4
	"Large Central Metro"	"1"	"25-34 years"	"25-34"	"Female"	"F"	"2017"	"2017"	5079	8174237	62.1
	"Large Central Metro"	"1"	"25-34 years"	"25-34"	"Female"	"F"	"2018"	"2018"	5088	8204480	62.0
	"Large Central Metro"	"1"	"25-34 years"	"25-34"	"Female"	"F"	"2019"	"2019"	5113	8221329	62.2
	"Large Central Metro"	"1"	"25-34 years"	"25-34"	"Male"	"M"	"2017"	"2017"	12666	8239301	153.7
	"Large Central Metro"	"1"	"25-34 years"	"25-34"	"Male"	"M"	"2018"	"2018"	12295	8298380	148.2
	"Large Central Metro"	"1"	"25-34 years"	"25-34"	"Male"	"M"	"2019"	"2019"	12844	8334075	154.1
	"Large Central Metro"	"1"	"35-44 years"	"35-44"	"Female"	"F"	"2017"	"2017"	8327	6844363	121.7
	"Large Central Metro"	"1"	"35-44 years"	"35-44"	"Female"	"F"	"2018"	"2018"	8225	6885813	119.4
	"Large Central Metro"	"1"	"35-44 years"	"35-44"	"Female"	"F"	"2019"	"2019"	8487	6924054	122.6
	"Large Central Metro"	"1"	"35-44 years"	"35-44"	"Male"	"M"	"2017"	"2017"	14928	6738318	221.5
	"Large Central Metro"	"1"	"35-44 years"	"35-44"	"Male"	"M"	"2018"	"2018"	15142	6795806	222.8
	"Large Central Metro"	"1"	"35-44 years"	"35-44"	"Male"	"M"	"2019"	"2019"	15683	6849506	229.0
	"Large Central Metro"	"1"	"45-54 years"	"45-54"	"Female"	"F"	"2017"	"2017"	18305	6626942	276.2
	"Large Central Metro"	"1"	"45-54 years"	"45-54"	"Female"	"F"	"2018"	"2018"	17511	6530771	268.1
	"Large Central Metro"	"1"	"45-54 years"	"45-54"	"Female"	"F"	"2019"	"2019"	17127	6439202	266.0
	"Large Central Metro"	"1"	"45-54 years"	"45-54"	"Male"	"M"	"2017"	"2017"	29836	6427477	464.2
	"Large Central Metro"	"1"	"45-54 years"	"45-54"	"Male"	"M"	"2018"	"2018"	29232	6330208	461.8
	"Large Central Metro"	"1"	"45-54 years"	"45-54"	"Male"	"M"	"2019"	"2019"	28423	6229765	456.2
	"Large Central Metro"	"1"	"55-64 years"	"55-64"	"Female"	"F"	"2017"	"2017"	39001	6257369	623.3
	"Large Central Metro"	"1"	"55-64 years"	"55-64"	"Female"	"F"	"2018"	"2018"	38800	6282686	617.6
	"Large Central Metro"	"1"	"55-64 years"	"55-64"	"Female"	"F"	"2019"	"2019"	38243	6295295	607.5
	"Large Central Metro"	"1"	"55-64 years"	"55-64"	"Male"	"M"	"2017"	"2017"	60714	5738761	1058.0
	"Large Central Metro"	"1"	"55-64 years"	"55-64"	"Male"	"M"	"2018"	"2018"	61551	5783169	1064.3
	"Large Central Metro"	"1"	"55-64 years"	"55-64"	"Male"	"M"	"2019"	"2019"	61209	5818606	1052.0
	"Large Central Metro"	"1"	"65-74 years"	"65-74"	"Female"	"F"	"2017"	"2017"	56989	4312187	1321.6
	"Large Central Metro"	"1"	"65-74 years"	"65-74"	"Female"	"F"	"2018"	"2018"	57758	4432678	1303.0
	"Large Central Metro"	"1"	"65-74 years"	"65-74"	"Female"	"F"	"2019"	"2019"	59124	4579765	1291.0
	"Large Central Metro"	"1"	"65-74 years"	"65-74"	"Male"	"M"	"2017"	"2017"	74669	3607162	2070.0
	"Large Central Metro"	"1"	"65-74 years"	"65-74"	"Male"	"M"	"2018"	"2018"	77118	3709773	2078.8
	"Large Central Metro"	"1"	"65-74 years"	"65-74"	"Male"	"M"	"2019"	"2019"	79226	3834404	2066.2
	"Large Central Metro"	"1"	"75-84 years"	"75-84"	"Female"	"F"	"2017"	"2017"	80258	2249730	3567.5
	"Large Central Metro"	"1"	"75-84 years"	"75-84"	"Female"	"F"	"2018"	"2018"	81763	2331784	3506.5
	"Large Central Metro"	"1"	"75-84 years"	"75-84"	"Female"	"F"	"2019"	"2019"	81488	2412375	3377.9
	"Large Central Metro"	"1"	"75-84 years"	"75-84"	"Male"	"M"	"2017"	"2017"	79727	1630570	4889.5
	"Large Central Metro"	"1"	"75-84 years"	"75-84"	"Male"	"M"	"2018"	"2018"	82211	1700323	4835.0
	"Large Central Metro"	"1"	"75-84 years"	"75-84"	"Male"	"M"	"2019"	"2019"	83715	1766476	4739.1
	"Large Central Metro"	"1"	"85+ years"	"85+"	"Female"	"F"	"2017"	"2017"	141723	1182345	11986.6
	"Large Central Metro"	"1"	"85+ years"	"85+"	"Female"	"F"	"2018"	"2018"	141398	1188580	11896.4
	"Large Central Metro"	"1"	"85+ years"	"85+"	"Female"	"F"	"2019"	"2019"	139011	1191319	11668.7
	"Large Central Metro"	"1"	"85+ years"	"85+"	"Male"	"M"	"2017"	"2017"	85872	629103	13649.9
	"Large Central Metro"	"1"	"85+ years"	"85+"	"Male"	"M"	"2018"	"2018"	86149	639078	13480.2
	"Large Central Metro"	"1"	"85+ years"	"85+"	"Male"	"M"	"2019"	"2019"	85761	651063	13172.5
	"Large Central Metro"	"1"	"Not Stated"	"NS"	"Female"	"F"	"2017"	"2017"	14	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Not Stated"	"NS"	"Female"	"F"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Not Stated"	"NS"	"Female"	"F"	"2019"	"2019"	15	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Not Stated"	"NS"	"Male"	"M"	"2017"	"2017"	31	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Not Stated"	"NS"	"Male"	"M"	"2018"	"2018"	26	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Not Stated"	"NS"	"Male"	"M"	"2019"	"2019"	30	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	2085	454019	459.2
	"Large Fringe Metro"	"2"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	2014	447240	450.3
	"Large Fringe Metro"	"2"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	1959	442876	442.3
	"Large Fringe Metro"	"2"	"< 1 year"	"1"	"Male"	"M"	"2017"	"2017"	2572	475698	540.7
	"Large Fringe Metro"	"2"	"< 1 year"	"1"	"Male"	"M"	"2018"	"2018"	2490	468633	531.3
	"Large Fringe Metro"	"2"	"< 1 year"	"1"	"Male"	"M"	"2019"	"2019"	2516	464016	542.2
	"Large Fringe Metro"	"2"	"1-4 years"	"1-4"	"Female"	"F"	"2017"	"2017"	367	1907332	19.2
	"Large Fringe Metro"	"2"	"1-4 years"	"1-4"	"Female"	"F"	"2018"	"2018"	373	1914393	19.5
	"Large Fringe Metro"	"2"	"1-4 years"	"1-4"	"Female"	"F"	"2019"	"2019"	315	1906849	16.5
	"Large Fringe Metro"	"2"	"1-4 years"	"1-4"	"Male"	"M"	"2017"	"2017"	464	1991036	23.3
	"Large Fringe Metro"	"2"	"1-4 years"	"1-4"	"Male"	"M"	"2018"	"2018"	471	2001946	23.5
	"Large Fringe Metro"	"2"	"1-4 years"	"1-4"	"Male"	"M"	"2019"	"2019"	397	1990950	19.9
	"Large Fringe Metro"	"2"	"5-14 years"	"5-14"	"Female"	"F"	"2017"	"2017"	532	5166718	10.3
	"Large Fringe Metro"	"2"	"5-14 years"	"5-14"	"Female"	"F"	"2018"	"2018"	518	5165316	10.0
	"Large Fringe Metro"	"2"	"5-14 years"	"5-14"	"Female"	"F"	"2019"	"2019"	532	5162182	10.3
	"Large Fringe Metro"	"2"	"5-14 years"	"5-14"	"Male"	"M"	"2017"	"2017"	698	5390102	12.9
	"Large Fringe Metro"	"2"	"5-14 years"	"5-14"	"Male"	"M"	"2018"	"2018"	668	5392233	12.4
	"Large Fringe Metro"	"2"	"5-14 years"	"5-14"	"Male"	"M"	"2019"	"2019"	666	5390893	12.4
	"Large Fringe Metro"	"2"	"15-24 years"	"15-24"	"Female"	"F"	"2017"	"2017"	1916	5094352	37.6
	"Large Fringe Metro"	"2"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	1918	5088449	37.7
	"Large Fringe Metro"	"2"	"15-24 years"	"15-24"	"Female"	"F"	"2019"	"2019"	1865	5080331	36.7
	"Large Fringe Metro"	"2"	"15-24 years"	"15-24"	"Male"	"M"	"2017"	"2017"	5489	5344678	102.7
	"Large Fringe Metro"	"2"	"15-24 years"	"15-24"	"Male"	"M"	"2018"	"2018"	4900	5319860	92.1
	"Large Fringe Metro"	"2"	"15-24 years"	"15-24"	"Male"	"M"	"2019"	"2019"	4858	5305421	91.6
	"Large Fringe Metro"	"2"	"25-34 years"	"25-34"	"Female"	"F"	"2017"	"2017"	4190	5179128	80.9
	"Large Fringe Metro"	"2"	"25-34 years"	"25-34"	"Female"	"F"	"2018"	"2018"	4106	5229539	78.5
	"Large Fringe Metro"	"2"	"25-34 years"	"25-34"	"Female"	"F"	"2019"	"2019"	4031	5269397	76.5
	"Large Fringe Metro"	"2"	"25-34 years"	"25-34"	"Male"	"M"	"2017"	"2017"	10105	5249938	192.5
	"Large Fringe Metro"	"2"	"25-34 years"	"25-34"	"Male"	"M"	"2018"	"2018"	9607	5322247	180.5
	"Large Fringe Metro"	"2"	"25-34 years"	"25-34"	"Male"	"M"	"2019"	"2019"	9481	5379563	176.2
	"Large Fringe Metro"	"2"	"35-44 years"	"35-44"	"Female"	"F"	"2017"	"2017"	6332	5310265	119.2
	"Large Fringe Metro"	"2"	"35-44 years"	"35-44"	"Female"	"F"	"2018"	"2018"	6413	5366900	119.5
	"Large Fringe Metro"	"2"	"35-44 years"	"35-44"	"Female"	"F"	"2019"	"2019"	6550	5427821	120.7
	"Large Fringe Metro"	"2"	"35-44 years"	"35-44"	"Male"	"M"	"2017"	"2017"	11298	5170558	218.5
	"Large Fringe Metro"	"2"	"35-44 years"	"35-44"	"Male"	"M"	"2018"	"2018"	11521	5237135	220.0
	"Large Fringe Metro"	"2"	"35-44 years"	"35-44"	"Male"	"M"	"2019"	"2019"	11967	5304562	225.6
	"Large Fringe Metro"	"2"	"45-54 years"	"45-54"	"Female"	"F"	"2017"	"2017"	14760	5814452	253.9
	"Large Fringe Metro"	"2"	"45-54 years"	"45-54"	"Female"	"F"	"2018"	"2018"	14127	5711050	247.4
	"Large Fringe Metro"	"2"	"45-54 years"	"45-54"	"Female"	"F"	"2019"	"2019"	13532	5604608	241.4
	"Large Fringe Metro"	"2"	"45-54 years"	"45-54"	"Male"	"M"	"2017"	"2017"	22899	5588418	409.8
	"Large Fringe Metro"	"2"	"45-54 years"	"45-54"	"Male"	"M"	"2018"	"2018"	22093	5492910	402.2
	"Large Fringe Metro"	"2"	"45-54 years"	"45-54"	"Male"	"M"	"2019"	"2019"	21778	5399806	403.3
	"Large Fringe Metro"	"2"	"55-64 years"	"55-64"	"Female"	"F"	"2017"	"2017"	32663	5586993	584.6
	"Large Fringe Metro"	"2"	"55-64 years"	"55-64"	"Female"	"F"	"2018"	"2018"	32465	5654178	574.2
	"Large Fringe Metro"	"2"	"55-64 years"	"55-64"	"Female"	"F"	"2019"	"2019"	32661	5711502	571.8
	"Large Fringe Metro"	"2"	"55-64 years"	"55-64"	"Male"	"M"	"2017"	"2017"	48661	5235563	929.4
	"Large Fringe Metro"	"2"	"55-64 years"	"55-64"	"Male"	"M"	"2018"	"2018"	49295	5302135	929.7
	"Large Fringe Metro"	"2"	"55-64 years"	"55-64"	"Male"	"M"	"2019"	"2019"	49059	5362106	914.9
	"Large Fringe Metro"	"2"	"65-74 years"	"65-74"	"Female"	"F"	"2017"	"2017"	52085	3906042	1333.4
	"Large Fringe Metro"	"2"	"65-74 years"	"65-74"	"Female"	"F"	"2018"	"2018"	52452	4018039	1305.4
	"Large Fringe Metro"	"2"	"65-74 years"	"65-74"	"Female"	"F"	"2019"	"2019"	53920	4158972	1296.5
	"Large Fringe Metro"	"2"	"65-74 years"	"65-74"	"Male"	"M"	"2017"	"2017"	67740	3406319	1988.7
	"Large Fringe Metro"	"2"	"65-74 years"	"65-74"	"Male"	"M"	"2018"	"2018"	69310	3499702	1980.5
	"Large Fringe Metro"	"2"	"65-74 years"	"65-74"	"Male"	"M"	"2019"	"2019"	71106	3621448	1963.5
	"Large Fringe Metro"	"2"	"75-84 years"	"75-84"	"Female"	"F"	"2017"	"2017"	74641	1992577	3746.0
	"Large Fringe Metro"	"2"	"75-84 years"	"75-84"	"Female"	"F"	"2018"	"2018"	76950	2096958	3669.6
	"Large Fringe Metro"	"2"	"75-84 years"	"75-84"	"Female"	"F"	"2019"	"2019"	78934	2188686	3606.5
	"Large Fringe Metro"	"2"	"75-84 years"	"75-84"	"Male"	"M"	"2017"	"2017"	77663	1529132	5078.9
	"Large Fringe Metro"	"2"	"75-84 years"	"75-84"	"Male"	"M"	"2018"	"2018"	80308	1620181	4956.7
	"Large Fringe Metro"	"2"	"75-84 years"	"75-84"	"Male"	"M"	"2019"	"2019"	82209	1692839	4856.3
	"Large Fringe Metro"	"2"	"85+ years"	"85+"	"Female"	"F"	"2017"	"2017"	133602	1019427	13105.6
	"Large Fringe Metro"	"2"	"85+ years"	"85+"	"Female"	"F"	"2018"	"2018"	134865	1029930	13094.6
	"Large Fringe Metro"	"2"	"85+ years"	"85+"	"Female"	"F"	"2019"	"2019"	133111	1034999	12861.0
	"Large Fringe Metro"	"2"	"85+ years"	"85+"	"Male"	"M"	"2017"	"2017"	81475	548563	14852.4
	"Large Fringe Metro"	"2"	"85+ years"	"85+"	"Male"	"M"	"2018"	"2018"	82606	561566	14709.9
	"Large Fringe Metro"	"2"	"85+ years"	"85+"	"Male"	"M"	"2019"	"2019"	83346	575704	14477.2
	"Large Fringe Metro"	"2"	"Not Stated"	"NS"	"Female"	"F"	"2017"	"2017"	12	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Not Stated"	"NS"	"Female"	"F"	"2018"	"2018"	16	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Not Stated"	"NS"	"Female"	"F"	"2019"	"2019"	19	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Not Stated"	"NS"	"Male"	"M"	"2017"	"2017"	32	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Not Stated"	"NS"	"Male"	"M"	"2018"	"2018"	62	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Not Stated"	"NS"	"Male"	"M"	"2019"	"2019"	43	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	2202	402858	546.6
	"Medium Metro"	"3"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	2115	392809	538.4
	"Medium Metro"	"3"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	2016	386418	521.7
	"Medium Metro"	"3"	"< 1 year"	"1"	"Male"	"M"	"2017"	"2017"	2752	422108	652.0
	"Medium Metro"	"3"	"< 1 year"	"1"	"Male"	"M"	"2018"	"2018"	2633	411663	639.6
	"Medium Metro"	"3"	"< 1 year"	"1"	"Male"	"M"	"2019"	"2019"	2649	404810	654.4
	"Medium Metro"	"3"	"1-4 years"	"1-4"	"Female"	"F"	"2017"	"2017"	364	1648940	22.1
	"Medium Metro"	"3"	"1-4 years"	"1-4"	"Female"	"F"	"2018"	"2018"	344	1642189	20.9
	"Medium Metro"	"3"	"1-4 years"	"1-4"	"Female"	"F"	"2019"	"2019"	352	1626825	21.6
	"Medium Metro"	"3"	"1-4 years"	"1-4"	"Male"	"M"	"2017"	"2017"	486	1728766	28.1
	"Medium Metro"	"3"	"1-4 years"	"1-4"	"Male"	"M"	"2018"	"2018"	492	1722245	28.6
	"Medium Metro"	"3"	"1-4 years"	"1-4"	"Male"	"M"	"2019"	"2019"	447	1702382	26.3
	"Medium Metro"	"3"	"5-14 years"	"5-14"	"Female"	"F"	"2017"	"2017"	484	4260014	11.4
	"Medium Metro"	"3"	"5-14 years"	"5-14"	"Female"	"F"	"2018"	"2018"	504	4266275	11.8
	"Medium Metro"	"3"	"5-14 years"	"5-14"	"Female"	"F"	"2019"	"2019"	520	4264341	12.2
	"Medium Metro"	"3"	"5-14 years"	"5-14"	"Male"	"M"	"2017"	"2017"	757	4447801	17.0
	"Medium Metro"	"3"	"5-14 years"	"5-14"	"Male"	"M"	"2018"	"2018"	669	4455711	15.0
	"Medium Metro"	"3"	"5-14 years"	"5-14"	"Male"	"M"	"2019"	"2019"	693	4457429	15.5
	"Medium Metro"	"3"	"15-24 years"	"15-24"	"Female"	"F"	"2017"	"2017"	1907	4637363	41.1
	"Medium Metro"	"3"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	1793	4628723	38.7
	"Medium Metro"	"3"	"15-24 years"	"15-24"	"Female"	"F"	"2019"	"2019"	1711	4612754	37.1
	"Medium Metro"	"3"	"15-24 years"	"15-24"	"Male"	"M"	"2017"	"2017"	5161	4858635	106.2
	"Medium Metro"	"3"	"15-24 years"	"15-24"	"Male"	"M"	"2018"	"2018"	4861	4834445	100.5
	"Medium Metro"	"3"	"15-24 years"	"15-24"	"Male"	"M"	"2019"	"2019"	4753	4808462	98.8
	"Medium Metro"	"3"	"25-34 years"	"25-34"	"Female"	"F"	"2017"	"2017"	4121	4517073	91.2
	"Medium Metro"	"3"	"25-34 years"	"25-34"	"Female"	"F"	"2018"	"2018"	4137	4553414	90.9
	"Medium Metro"	"3"	"25-34 years"	"25-34"	"Female"	"F"	"2019"	"2019"	4080	4585429	89.0
	"Medium Metro"	"3"	"25-34 years"	"25-34"	"Male"	"M"	"2017"	"2017"	9119	4651961	196.0
	"Medium Metro"	"3"	"25-34 years"	"25-34"	"Male"	"M"	"2018"	"2018"	9024	4704587	191.8
	"Medium Metro"	"3"	"25-34 years"	"25-34"	"Male"	"M"	"2019"	"2019"	9077	4744764	191.3
	"Medium Metro"	"3"	"35-44 years"	"35-44"	"Female"	"F"	"2017"	"2017"	6433	4119190	156.2
	"Medium Metro"	"3"	"35-44 years"	"35-44"	"Female"	"F"	"2018"	"2018"	6439	4168281	154.5
	"Medium Metro"	"3"	"35-44 years"	"35-44"	"Female"	"F"	"2019"	"2019"	6377	4216955	151.2
	"Medium Metro"	"3"	"35-44 years"	"35-44"	"Male"	"M"	"2017"	"2017"	11168	4070894	274.3
	"Medium Metro"	"3"	"35-44 years"	"35-44"	"Male"	"M"	"2018"	"2018"	11236	4127027	272.3
	"Medium Metro"	"3"	"35-44 years"	"35-44"	"Male"	"M"	"2019"	"2019"	11582	4180715	277.0
	"Medium Metro"	"3"	"45-54 years"	"45-54"	"Female"	"F"	"2017"	"2017"	14601	4343786	336.1
	"Medium Metro"	"3"	"45-54 years"	"45-54"	"Female"	"F"	"2018"	"2018"	14080	4274429	329.4
	"Medium Metro"	"3"	"45-54 years"	"45-54"	"Female"	"F"	"2019"	"2019"	13582	4198206	323.5
	"Medium Metro"	"3"	"45-54 years"	"45-54"	"Male"	"M"	"2017"	"2017"	22474	4194223	535.8
	"Medium Metro"	"3"	"45-54 years"	"45-54"	"Male"	"M"	"2018"	"2018"	21789	4125864	528.1
	"Medium Metro"	"3"	"45-54 years"	"45-54"	"Male"	"M"	"2019"	"2019"	21607	4056645	532.6
	"Medium Metro"	"3"	"55-64 years"	"55-64"	"Female"	"F"	"2017"	"2017"	32168	4551037	706.8
	"Medium Metro"	"3"	"55-64 years"	"55-64"	"Female"	"F"	"2018"	"2018"	32217	4582142	703.1
	"Medium Metro"	"3"	"55-64 years"	"55-64"	"Female"	"F"	"2019"	"2019"	32488	4600746	706.1
	"Medium Metro"	"3"	"55-64 years"	"55-64"	"Male"	"M"	"2017"	"2017"	49311	4191445	1176.5
	"Medium Metro"	"3"	"55-64 years"	"55-64"	"Male"	"M"	"2018"	"2018"	49952	4218426	1184.1
	"Medium Metro"	"3"	"55-64 years"	"55-64"	"Male"	"M"	"2019"	"2019"	50137	4236947	1183.3
	"Medium Metro"	"3"	"65-74 years"	"65-74"	"Female"	"F"	"2017"	"2017"	50035	3420095	1463.0
	"Medium Metro"	"3"	"65-74 years"	"65-74"	"Female"	"F"	"2018"	"2018"	51011	3524099	1447.5
	"Medium Metro"	"3"	"65-74 years"	"65-74"	"Female"	"F"	"2019"	"2019"	51417	3648847	1409.1
	"Medium Metro"	"3"	"65-74 years"	"65-74"	"Male"	"M"	"2017"	"2017"	67006	3014609	2222.7
	"Medium Metro"	"3"	"65-74 years"	"65-74"	"Male"	"M"	"2018"	"2018"	68889	3099079	2222.9
	"Medium Metro"	"3"	"65-74 years"	"65-74"	"Male"	"M"	"2019"	"2019"	70601	3198848	2207.1
	"Medium Metro"	"3"	"75-84 years"	"75-84"	"Female"	"F"	"2017"	"2017"	70052	1788539	3916.7
	"Medium Metro"	"3"	"75-84 years"	"75-84"	"Female"	"F"	"2018"	"2018"	71311	1874791	3803.7
	"Medium Metro"	"3"	"75-84 years"	"75-84"	"Female"	"F"	"2019"	"2019"	72966	1947293	3747.0
	"Medium Metro"	"3"	"75-84 years"	"75-84"	"Male"	"M"	"2017"	"2017"	73152	1399775	5226.0
	"Medium Metro"	"3"	"75-84 years"	"75-84"	"Male"	"M"	"2018"	"2018"	75784	1478439	5125.9
	"Medium Metro"	"3"	"75-84 years"	"75-84"	"Male"	"M"	"2019"	"2019"	77818	1541709	5047.5
	"Medium Metro"	"3"	"85+ years"	"85+"	"Female"	"F"	"2017"	"2017"	117845	891382	13220.5
	"Medium Metro"	"3"	"85+ years"	"85+"	"Female"	"F"	"2018"	"2018"	117541	900726	13049.6
	"Medium Metro"	"3"	"85+ years"	"85+"	"Female"	"F"	"2019"	"2019"	116405	903016	12890.7
	"Medium Metro"	"3"	"85+ years"	"85+"	"Male"	"M"	"2017"	"2017"	73113	495569	14753.3
	"Medium Metro"	"3"	"85+ years"	"85+"	"Male"	"M"	"2018"	"2018"	73855	507489	14553.0
	"Medium Metro"	"3"	"85+ years"	"85+"	"Male"	"M"	"2019"	"2019"	74316	518298	14338.5
	"Medium Metro"	"3"	"Not Stated"	"NS"	"Female"	"F"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Not Stated"	"NS"	"Female"	"F"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Not Stated"	"NS"	"Female"	"F"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Not Stated"	"NS"	"Male"	"M"	"2017"	"2017"	11	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Not Stated"	"NS"	"Male"	"M"	"2018"	"2018"	10	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Not Stated"	"NS"	"Male"	"M"	"2019"	"2019"	12	Not Applicable	Not Applicable
	"Small Metro"	"4"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	900	171663	524.3
	"Small Metro"	"4"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	879	167177	525.8
	"Small Metro"	"4"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	876	164847	531.4
	"Small Metro"	"4"	"< 1 year"	"1"	"Male"	"M"	"2017"	"2017"	1236	179865	687.2
	"Small Metro"	"4"	"< 1 year"	"1"	"Male"	"M"	"2018"	"2018"	1229	175133	701.8
	"Small Metro"	"4"	"< 1 year"	"1"	"Male"	"M"	"2019"	"2019"	1162	172694	672.9
	"Small Metro"	"4"	"1-4 years"	"1-4"	"Female"	"F"	"2017"	"2017"	161	698315	23.1
	"Small Metro"	"4"	"1-4 years"	"1-4"	"Female"	"F"	"2018"	"2018"	141	697437	20.2
	"Small Metro"	"4"	"1-4 years"	"1-4"	"Female"	"F"	"2019"	"2019"	169	689482	24.5
	"Small Metro"	"4"	"1-4 years"	"1-4"	"Male"	"M"	"2017"	"2017"	234	731449	32.0
	"Small Metro"	"4"	"1-4 years"	"1-4"	"Male"	"M"	"2018"	"2018"	222	730950	30.4
	"Small Metro"	"4"	"1-4 years"	"1-4"	"Male"	"M"	"2019"	"2019"	218	722679	30.2
	"Small Metro"	"4"	"5-14 years"	"5-14"	"Female"	"F"	"2017"	"2017"	232	1781159	13.0
	"Small Metro"	"4"	"5-14 years"	"5-14"	"Female"	"F"	"2018"	"2018"	252	1785142	14.1
	"Small Metro"	"4"	"5-14 years"	"5-14"	"Female"	"F"	"2019"	"2019"	238	1782569	13.4
	"Small Metro"	"4"	"5-14 years"	"5-14"	"Male"	"M"	"2017"	"2017"	326	1860500	17.5
	"Small Metro"	"4"	"5-14 years"	"5-14"	"Male"	"M"	"2018"	"2018"	303	1865259	16.2
